குறள்,எண்,மாத்திரை,உயிர்க்குறில்,உயிர்நெடில்,ஆய்தம்,மெய்,உயிர்மெய்க்குறில்,உயிர்மெய்நெடில்,உயிரளபெடை,ஒற்றளபெடை,ஐகாரக்குறுக்கம்_முதல்,ஐகாரக்குறுக்கம்_இடைகடை,ஒளகாரக்குறுக்கம்,குற்றியலுகரம்,குற்றியலிகரம்,மகரக்குறுக்கம்,ஆய்தக்குறுக்கம்
"அகர முதல எழுத்தெல்லாம் ஆதி
பகவன் முதற்றே உலகு.",1,1 1 1    1 1 1    1 1 0.5 1 0.5 2 0.5    2 1    1 1 1 0.5    1 1 0.5 2    1 1 0.5    ,3,1,0,5,14,2,0,0,0,0,0,1,0,0,0
"கற்றதனால் ஆய பயனென்கொல் வாலறிவன்
நற்றாள் தொழாஅர் எனின்.",2,1 0.5 1 1 2 0.5    2 1    1 1 1 0.5 1 0.5    2 1 1 1 0.5    1 0.5 2 0.5    1 3 0.5    1 1 0.5    ,1,1,0,9,14,3,1,0,0,0,0,0,0,0,0
"மலர்மிசை ஏகினான் மாணடி சேர்ந்தார்
நிலமிசை நீடுவாழ் வார்.",3,1 1 0.5 1 1    2 1 2 0.5    2 1 1    2 0.5 0.5 2 0.5    1 1 1 1    2 1 2 0.5    2 0.5    ,0,1,0,7,10,7,0,0,0,2,0,0,0,0,0
"வேண்டுதல் வேண்டாமை இலானடி சேர்ந்தார்க்கு
யாண்டும் இடும்பை இல.",4,2 0.5 1 1 0.5    2 0.5 2 1    1 2 1 1    2 0.5 0.5 2 0.5 0.5 0.5    2 0.5 1 0.5    1 1 0.5 1    1 1    ,3,0,0,10,7,7,0,0,0,2,0,1,0,0,0
"இருள்சேர் இருவினையும் சேரா இறைவன்
பொருள்சேர் புகழ்புரிந்தார் மாட்டு.",5,1 1 0.5 2 0.5    1 1 1 1 1 0.5    2 2    1 1 1 0.5    1 1 0.5 2 0.5    1 1 0.5 1 1 0.5 2 0.5    2 0.5 0.5    ,3,0,0,10,11,6,0,0,0,2,0,1,0,0,0
"பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க
நெறிநின்றார் நீடுவாழ் வார்.",6,1 1 2 1 0.5    1.5 0.5 1 1 0.5 2 0.5    1 0.5 2 0.5    1 1 0.5 1    1 1 1 0.5 2 0.5    2 1 2 0.5    2 0.5    ,1,0,0,11,12,7,0,0,1,0,0,0,0,0,0
"தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால்
மனக்கவலை மாற்றல் அரிது.",7,1 1 0.5 1 1 1    1 0.5 2 2 0.5    2 0.5 2 0.5 0.5 2 0.5 0.5    1 0.5 2 0.5    1 1 0.5 1 1 1    2 0.5 1 0.5    1 1 0.5    ,2,0,0,13,11,7,0,0,0,2,0,1,0,0,0
"அறவாழி அந்தணன் தாள்சேர்ந்தார்க் கல்லால்
பிறவாழி நீந்தல் அரிது.",8,1 1 2 1    1 0.5 1 1 0.5    2 0.5 2 0.5 0.5 2 0.5 0.5    1 0.5 2 0.5    1 1 2 1    2 0.5 1 0.5    1 1 0.5    ,3,0,0,11,10,7,0,0,0,0,0,1,0,0,0
"கோளில் பொறியின் குணமிலவே எண்குணத்தான்
தாளை வணங்காத் தலை.",9,2 1 0.5    1 0.5* 1 0.5    1 1 1 1 2    1 0.5 1 1 0.5 2 0.5    2 1    1 1 0.5 2 0.5    1 1    ,1,0,0,7,12,5,0,0,0,2,0,0,1,0,0
"பிறவிப் பெருங்கடல் நீந்துவர் நீந்தார்
இறைவன் அடிசேரா தார்.",10,1 1 1 0.5    1 1 0.5 1 1 0.5    2 0.5 1 1 0.5    2 0.5 2 0.5    1 1 1 0.5    1 1 2 2    2 0.5    ,2,0,0,9,11,6,0,0,0,1,0,0,0,0,0
"வான்நின்று உலகம் வழங்கி வருதலால்
தான்அமிழ்தம் என்றுணரற் பாற்று.",11,2 0.5 1 0.5 0.5    1 1 1 0.5    1 1 0.5 1    1 1 1 2 0.5    2 1 1 0.5 1 0.5    1 0.5 1 1 1 0.5    2 0.5 0.5    ,2,0,0,10,15,4,0,0,0,0,0,2,0,0,0
"துப்பார்க்குத் துப்பாய துப்பாக்கித் துப்பார்க்குத்
துப்பாய தூஉம் மழை.",12,1 0.5 2 0.5 0.5 1 0.5    1 0.5 2 1    1 0.5 2 0.5 1 0.5    1 0.5 2 0.5 0.5 1 0.5    1 0.5 2 1    3 0.5    1 1    ,0,0,0,14,11,5,1,0,0,1,0,0,0,0,0
"விண்இன்று பொய்ப்பின் விரிநீர் வியனுலகத்து
உள்நின்று உடற்றும் பசி.",13,1 1 0.5 0.5    1 0.5 0.5 1 0.5    1 1 2 0.5    1 1 1 1 1 0.5 0.5    1 0.5 1 0.5 0.5    1 1 0.5 1 0.5    1 1    ,2,0,0,10,16,1,0,0,0,0,0,3,0,0,0
"ஏரின் உழாஅர் உழவர் புயல்என்னும்
வாரி வளங்குன்றிக் கால்.",14,2 1 0.5    1 3 0.5    1 1 1 0.5    1 1 1 0.5 1 0.5    2 1    1 1 0.5 1 0.5 1 0.5    2 0.5    ,2,1,0,9,12,2,1,0,0,0,0,0,0,0,0
"கெடுப்பதூஉம் கெட்டார்க்குச் சார்வாய்மற் றாங்கே
எடுப்பதூஉம் எல்லாம் மழை.",15,1 1 0.5 1 3 0.5    1 0.5 2 0.5 0.5 1 0.5    2 0.5 2 0.5 1 0.5    2 0.5 2    1 1 0.5 1 3 0.5    1 0.5 2 0.5    1 1    ,2,0,0,14,9,6,2,0,0,1,0,0,0,0,0
"விசும்பின் துளிவீழின் அல்லால்மற் றாங்கே
பசும்புல் தலைகாண்பு அரிது.",16,1 1 0.5 1 0.5    1 1 2 1 0.5    1 0.5 2 0.5 1 0.5    2 0.5 2    1 1 0.5 1 0.5    1 1 2 0.5 0.5    1 1 0.5    ,2,0,0,10,12,5,0,0,0,1,0,2,0,0,0
"நெடுங்கடலும் தன்நீர்மை குன்றும் தடிந்தெழிலி
தான்நல்கா தாகி விடின்.",17,1 1 0.5 1 1 1 0.5    1 0.5 2 0.5 1    1 0.5 1 0.5    1 1 0.5 1 1 1    2 0.5 1 0.5 2    2 1    1 1 0.5    ,0,0,0,10,17,4,0,0,0,1,0,0,0,0,0
"சிறப்பொடு பூசனை செல்லாது வானம்
வறக்குமேல் வானோர்க்கும் ஈண்டு.",18,1 1 0.5 1 0.5    2 1 1    1 0.5 2 0.5    2 1 0.5    1 1 0.5 1 2 0.5    2 2 0.5 0.5 1 0.5    2 0.5 0.5    ,0,1,0,9,10,6,0,0,0,1,0,3,0,0,0
"தானம் தவம்இரண்டும் தங்கா வியன்உலகம்
வானம் வழங்கா தெனின்.",19,2 1 0.5    1 1 1 1 0.5 1 0.5    1 0.5 2    1 1 1 1 1 0.5    2 1 0.5    1 1 0.5 2    1 1 0.5    ,0,0,0,8,17,4,0,0,0,0,0,0,0,0,0
"நீர்இன்று அமையாது உலகெனின் யார்யார்க்கும்
வான்இன்று அமையாது ஒழுக்கு.",20,2 1 0.5 0.5    1 1 2 0.5    1 1 1 1 0.5    2 0.5 2 0.5 0.5 1 0.5    2 1 0.5 0.5    1 1 2 0.5    1 1 0.5 0.5    ,4,0,0,8,7,6,0,0,0,2,0,5,0,0,0
"ஒழுக்கத்து நீத்தார் பெருமை விழுப்பத்து
வேண்டும் பனுவல் துணிவு.",21,1 1 0.5 1 0.5 0.5    2 0.5 2 0.5    1 1 1    1 1 0.5 1 0.5 0.5    2 0.5 1 0.5    1 1 1 0.5    1 1 1    ,1,0,0,9,14,3,0,0,0,1,0,2,0,0,0
"துறந்தார் பெருமை துணைக்கூறின் வையத்து
இறந்தாரை எண்ணிக்கொண் டற்று.",22,1 1 0.5 2 0.5    1 1 1    1 1 0.5 2 1 0.5    2 1 0.5 0.5    1 1 0.5 2 1    1 0.5 1 0.5 1 0.5    1 0.5 0.5    ,2,0,0,10,11,4,0,0,0,3,0,2,0,0,0
"இருமை வகைதெரிந்து ஈண்டுஅறம் பூண்டார்
பெருமை பிறங்கிற்று உலகு.",23,1 1 1    1 1 1 1 0.5 0.5    2 0.5 0.5    2 0.5 2 0.5    1 1 1    1 1 0.5 1 0.5 0.5    1 1 0.5    ,2,1,0,6,10,2,0,0,0,3,0,4,0,0,0
"உரனென்னும் தோட்டியான் ஓரைந்தும் காப்பான்
வரனென்னும் வைப்பிற்கோர் வித்து.",24,1 1 1 0.5 1 0.5    2 0.5 0.5* 2 0.5    2 1 0.5 1 0.5    2 0.5 2 0.5    1 1 1 0.5 1 0.5    2 0.5 1 0.5 2 0.5    1 0.5 0.5    ,1,1,0,14,10,6,0,0,0,1,0,1,1,0,0
"ஐந்தவித்தான் ஆற்றல் அகல்விசும்பு ளார்கோமான்
இந்திரனே சாலுங் கரி.",25,1.5 0.5 1 1 0.5 2 0.5    2 0.5 1 0.5    1 1 0.5 1 1 0.5 0.5    2 0.5 2 2 0.5    1 0.5 1 1 2    2 1 0.5    1 1    ,2,1,0,11,11,6,0,0,1,0,0,1,0,0,0
"செயற்கரிய செய்வார் பெரியர் சிறியர்
செயற்கரிய செய்கலா தார்.",26,1 1 0.5 1 1 1    1 0.5 2 0.5    1 1 1 0.5    1 0.5* 1 0.5    1 1 0.5 1 1 1    1 0.5 1 2    2 0.5    ,0,0,0,8,18,3,0,0,0,0,0,0,1,0,0
"சுவைஒளி ஊறுஓசை நாற்றமென ஐந்தின்
வகைதெரிவான் கட்டே உலகு.",27,1 1    2 0.5    2 0.5 1 1 1    1.5 0.5 1 0.5    1 1 1 1 2 0.5    1 0.5 2    1 1 0.5    ,1,1,0,5,10,3,0,0,1,2,0,2,0,0,0
"நிறைமொழி மாந்தர் பெருமை நிலத்து
மறைமொழி காட்டி விடும்.",28,1 1 1 1    2 0.5 1 0.5    1 1 1    1 1 0.5 0.5    1 1 1 1    2 0.5 1    1 1 0.5    ,0,0,0,5,14,2,0,0,0,3,0,1,0,0,0
"குணமென்னும் குன்றேறி நின்றார் வெகுளி
கணமேயும் காத்தல் அரிது.",29,1 1 1 0.5 1 0.5    1 0.5 2 1    1 0.5 2 0.5    1 1 1    1 1 2 1 0.5    2 0.5 1 0.5    1 1 0.5    ,1,0,0,8,15,4,0,0,0,0,0,1,0,0,0
"அந்தணர் என்போர் அறவோர்மற் றெவ்வுயிர் க்கும்
செந்தண்மை பூண்டொழுக லான்.",30,1 0.5 1 1 0.5    1 0.5 2 0.5    1 1 2 0.5 1 0.5    1 0.5 1 1 0.5    0.5 1 0.5    1 0.5 1 0.5 1    2 0.5 1 1 1    2 0.5    ,3,0,0,14,13,4,0,0,0,1,0,0,0,0,0
"சிறப்பு ஈனும் செல்வமும் ஈனும் அறத்தினூஉங்கு
ஆக்கம் எவனோ உயிர்க்கு.",31,1 1 0.5 0.5    2 1 0.5    1 0.5 1 1 0.5    2 1 0.5    1 1 0.5 1 3 0.5 0.5    2 0.5 1 0.5    1 1 2    1 1 0.5 0.5 0.5    ,3,3,0,11,12,1,1,0,0,0,0,3,0,0,0
"அறத்தினூஉங்கு ஆக்கமும் இல்லை அதனை
மறத்தலின் ஊங்கில்லை கேடு.",32,1 1 0.5 1 3 0.5 0.5    2 0.5 1 1 0.5    1 0.5 1    1 1 1    1 1 0.5 1 1 0.5    2 0.5 1 0.5 1    2 0.5    ,3,2,0,9,10,1,1,0,0,3,0,2,0,0,0
"ஒல்லும் வகையான் அறவினை ஓவாதே
செல்லும்வாய் எல்லாஞ் செயல்.",33,1 0.5 1 0.5    1 1 2 0.5    1 1 1 1    2 2 2    1 0.5 1 0.5 2 0.5    1 0.5 2 0.5    1 1 0.5    ,3,1,0,9,8,5,0,0,0,2,0,0,0,0,0
"மனத்துக்கண் மாசிலன் ஆதல் அனைத்து அறன்
ஆகுல நீர பிற.",34,1 1 0.5 1 0.5 1 0.5    2 1 1 0.5    2 1 0.5    1 1 0.5 0.5    1 1 0.5    2 1 1    2 1    1 1    ,2,2,0,7,13,2,0,0,0,1,0,1,0,0,0
"அழுக்காறு அவாவெகுளி இன்னாச்சொல் நான்கும்
இழுக்கா இயன்றது அறம்.",35,1 1 0.5 2 0.5    1 2 1 1 1    1 0.5 2 0.5 1 0.5    2 0.5 1 0.5    1 1 0.5 2    1 1 0.5 1 0.5    1 1 0.5    ,6,0,0,9,10,5,0,0,0,0,0,2,0,0,0
"அன்றறிவாம் என்னாது அறஞ்செய்க மற்றது
பொன்றுங்கால் பொன்றாத் துணை.",36,1 0.5 1 1 2 0.5    1 0.5 2 0.5    1 1 0.5 1 0.5 1    1 0.5 1 0.5    1 0.5 1 0.5 2 0.5    1 0.5 2 0.5    1 1    ,3,0,0,11,11,4,0,0,0,1,0,2,0,0,0
"அறத்தாறு இதுவென வேண்டா சிவிகை
பொறுத்தானோடு ஊர்ந்தான் இடை.",37,1 1 0.5 2 0.5    1 1 1 1    2 0.5 2    1 1 1    1 1 0.5 2 2 0.5    2 0.5 0.5 2 0.5    1 1    ,3,1,0,6,8,6,0,0,0,2,0,2,0,0,0
"வீழ்நாள் படாஅமை நன்றாற்றின் அஃதொருவன்
வாழ்நாள் வழியடைக்கும் கல்.",38,2 0.5 2 0.5    1 3 1    1 0.5 2 0.5 1 0.5    1 0.5 1 1 1 0.5    2 0.5 2 0.5    1 1 1 1 0.5 1 0.5    1 0.5    ,1,0,1,11,11,5,1,0,0,2,0,0,0,0,0
"அறத்தான் வருவதே இன்பம் மற் றெல்லாம்
புறத்த புகழும் இல.",39,1 1 0.5 2 0.5    1 1 1 2    1 0.5 1 0.5    1 0.5    1 0.5 2 0.5    1 1 0.5 1    1 1 1 0.5    1 1    ,3,0,0,9,14,3,0,0,0,0,0,0,0,0,0
"செயற்பால தோரும் அறனே ஒருவற்கு
உயற்பால தோரும் பழி.",40,1 1 0.5 2 1    2 1 0.5    1 1 2    1 1 1 0.5 0.5    1 1 0.5 2 1    2 1 0.5    1 1    ,3,0,0,5,12,5,0,0,0,0,0,1,0,0,0
"இல்வாழ்வான் என்பான் இயல்புடைய மூவர்க்கும்
நல்லாற்றின் நின்ற துணை.",41,1 0.5 2 0.5 2 0.5    1 0.5 2 0.5    1 1 0.5 1 1 1    2 1 0.5 0.5 1 0.5    1 0.5 2 0.5 1 0.5    1 0.5 1    1 1    ,3,0,0,13,10,5,0,0,0,2,0,0,0,0,0
"துறந்தார்க்கும் துவ்வாதவர்க்கும் இறந்தார்க்கும்
இல்வாழ்வான் என்பான் துணை.",42,1 1 0.5 2 0.5 0.5 1 0.5    1 0.5 2 1 1 0.5 0.5 1 0.5    1 1 0.5 2 0.5 0.5 1 0.5    1 0.5 2 0.5 2 0.5    1 0.5 2 0.5    1 1    ,3,0,0,17,10,6,0,0,0,1,0,0,0,0,0
"தென்புலத்தார் தெய்வம் விருந்தொக்கல் தானென்றாங்கு
ஐம்புலத்தாறு ஓம்பல் தலை.",43,1 0.5 1 1 0.5 2 0.5    1 0.5 1 0.5    1 1 0.5 1 0.5 1 0.5    2 1 0.5 2 0.5 0.5    1.5 0.5 1 1 0.5 2 0.5    2 0.5 1 0.5    1 1    ,0,1,0,14,14,4,0,0,1,1,0,2,0,0,0
"பழியஞ்சிப் பாத்தூண் உடைத்தாயின் வாழ்க்கை
வழியெஞ்சல் எஞ்ஞான்றும் இல்.",44,1 1 1 0.5 1 0.5    2 0.5 2 0.5    1 1 0.5 2 1 0.5    2 0.5 0.5 1    1 1 1 0.5 1 0.5    1 0.5 2 0.5 1 0.5    1 0.5    ,3,0,0,14,10,5,0,0,0,2,0,0,0,0,0
"அன்பும் அறனும் உடைத்தாயின் இல்வாழ்க்கை
பண்பும் பயனும் அது.",45,1 0.5 1 0.5    1 1 1 0.5    1 1 0.5 2 1 0.5    1 0.5 2 0.5 0.5 1    1 0.5 1 0.5    1 1 1 0.5    1 1    ,5,0,0,11,10,2,0,0,0,2,0,0,0,0,0
"அறத்தாற்றின் இல்வாழ்க்கை ஆற்றின் புறத்தாற்றில்
போஒய்ப் பெறுவ தெவன்?",46,1 1 0.5 2 0.5 1 0.5    1 0.5 2 0.5 0.5 1    2 0.5 1 0.5    1 1 0.5 2 0.5 1 0.5    3 0.5 0.5    1 1 1    1 1 0.5    ,2,1,0,14,11,3,1,0,0,1,0,0,0,0,0
"இயல்பினான் இல்வாழ்க்கை வாழ்பவன் என்பான்
முயல்வாருள் எல்லாம் தலை.",47,1 1 0.5 1 2 0.5    1 0.5 2 0.5 0.5 1    2 0.5 1 1 0.5    1 0.5 2 0.5    1 1 0.5 2 1 0.5    1 0.5 2 0.5    1 1    ,4,0,0,13,8,6,0,0,0,2,0,0,0,0,0
"ஆற்றின் ஒழுக் கி அறனிழுக்கா இல்வாழ் க்கை
நோற்பாரின் நோன்மை உடைத்து.",48,2 0.5 1 0.5    1 1 0.5    1    1 1 1 1 0.5 2    1 0.5 2 0.5    0.5 1    2 0.5 2 1 0.5    2 0.5 1    1 1 0.5 0.5    ,4,1,0,11,7,5,0,0,0,3,0,1,0,0,0
"அறன் எனப் பட்டதே இல்வாழ்க்கை அஃதும்
பிறன்பழிப்ப தில்லாயின் நன்று.",49,1 1 0.5    1 1 0.5    1 0.5 1 2    1 0.5 2 0.5 0.5 1    1 0.5 1 0.5    1 1 0.5 1 1 0.5 1    1 0.5 2 1 0.5    1 0.5 0.5    ,4,0,1,12,13,3,0,0,0,1,0,1,0,0,0
"வையத்துள் வாழ்வாங்கு வாழ்பவன் வான்உநற்யும்
தெய்வத்துள் வைக்கப் படும்.",50,2 1 0.5 1 0.5    2 0.5 2 0.5 0.5    2 0.5 1 1 0.5    2 1 1 0.5 1 0.5    1 0.5 1 0.5 1 0.5    2 0.5 1 0.5    1 1 0.5    ,0,0,0,14,13,6,0,0,0,0,0,1,0,0,0
"மனைக்தக்க மாண்புடையள் ஆகித்தற் கொண்டான்
வளத்தக்காள் வாழ்க்கைத் துணை.",51,1 1 0.5 1 0.5 1    2 0.5 1 1 1 0.5    2 1 0.5 1 0.5    1 0.5 2 0.5    1 1 0.5 1 0.5 2 0.5    2 0.5 0.5 1 0.5    1 1    ,0,1,0,14,12,4,0,0,0,4,0,0,0,0,0
"மனைமாட்சி இல்லாள்கண் இல்லாயின் வாழ்க்கை
எனைமாட்சித் தாயினும் இல்.",52,1 1 2 0.5 1    1 0.5 2 0.5 1 0.5    1 0.5 2 1 0.5    2 0.5 0.5 1    1 1 2 0.5 1 0.5    2 1 1 0.5    1 0.5    ,4,0,0,12,7,6,0,0,0,3,0,0,0,0,0
"இல்லதென் இல்லவள் மாண்பானால் உள்ளதென்
இல்லவள் மாணாக் கடை?",53,1 0.5 1 1 0.5    1 0.5 1 1 0.5    2 0.5 2 2 0.5    1 0.5 1 1 0.5    1 0.5 1 1 0.5    2 2 0.5    1 1    ,4,0,0,11,9,5,0,0,0,1,0,0,0,0,0
"பெண்ணின் பெருந்தக்க யாவுள கற்பென்னும்
திண்மைஉண் டாகப் பெறின்.",54,1 0.5 1 0.5    1 1 0.5 1 0.5 1    2 1 1    1 0.5 1 0.5 1 0.5    1 0.5 1    2 1 0.5    1 1 0.5    ,0,0,0,10,15,2,0,0,0,1,0,0,0,0,0
"தெய்வம் தொழாஅள் கொழுநன் தொழுதெழுவாள்
பெய்யெனப் பெய்யும் மழை.",55,1 0.5 1 0.5    1 3 0.5    1 1 1 0.5    1 1 1 1 2 0.5    1 0.5 1 1 0.5    1 0.5 1 0.5    1 1    ,0,0,0,9,16,1,1,0,0,1,0,0,0,0,0
"தற்காத்துத் தற்கொண்டாற் பேணித் தகைசான்ற
சொற்காத்துச் சோர்விலாள் பெண்.",56,1 0.5 2 0.5 1 0.5    1 0.5 1 0.5 2 0.5    2 1 0.5    1 1 2 0.5 1    1 0.5 2 0.5 1 0.5    2 0.5 1 2 0.5    1 0.5    ,0,0,0,14,11,7,0,0,0,1,0,0,0,0,0
"சிறைகாக்கும் காப்பெவன் செய்யும் மகளிர்
நிறைகாக்கும் காப்பே தலை.",57,1 1 2 0.5 1 0.5    2 0.5 1 1 0.5    1 0.5 1 0.5    1 1 1 0.5    1 1 2 0.5 1 0.5    2 0.5 2    1 1    ,0,0,0,10,12,5,0,0,0,3,0,0,0,0,0
"பெற்றாற் பெறின்பெறுவர் பெண்டிர் பெருஞ்சிறப்புப்
புத்தேளிர் வாழும் உலகு.",58,1 0.5 2 0.5    1 1 0.5 1 1 1 0.5    1 0.5 1 0.5    1 1 0.5 1 1 0.5 1 0.5    1 0.5 2 1 0.5    2 1 0.5    1 1 0.5    ,1,0,0,12,17,3,0,0,0,0,0,1,0,0,0
"புகழ்புரிந்த இல்லிலோர்க்கு இல்லை இகழ்வார்முன்
ஏறுபோல் பீடு நடை.",59,1 1 0.5 1 1 0.5 1    1 0.5 1 2 0.5 0.5 0.5    1 0.5 1    1 1 0.5 2 0.5 1 0.5    2 1 2 0.5    2 0.5    1 1    ,3,1,0,10,10,4,0,0,0,2,0,2,0,0,0
"மங்கலம் என்ப மனைமாட்சி மற்று அதன்
நன்கலம் நன்மக்கட் பேறு.",60,1 0.5 1 1 0.5    1 0.5 1    1 1 2 0.5 1    1 0.5 0.5    1 1 0.5    1 0.5 1 1 0.5    1 0.5 1 0.5 1 0.5    2 0.5    ,2,0,0,11,14,2,0,0,0,1,0,2,0,0,0
"பெறுமவற்றுள் யாமறிவது இல்லை அறிவறிந்த
மக்கட்பேறு அல்ல பிற.",61,1 1 1 1 0.5 1 0.5    2 1 1 1 0.5    1 0.5 1    1 1 1 1 0.5 1    1 0.5 1 0.5 2 0.5    1 0.5 1    1 1    ,3,0,0,7,17,2,0,0,0,1,0,2,0,0,0
